,date,close,company symbol,call
162760,2019-03-22,264.53,TSLA,Hold
162761,2019-03-21,274.02,TSLA,Hold
162762,2019-03-20,273.6,TSLA,Hold
162763,2019-03-19,267.47,TSLA,Hold
162764,2019-03-18,269.49,TSLA,Hold
162765,2019-03-15,275.43,TSLA,Sell
162766,2019-03-14,289.96,TSLA,Hold
162767,2019-03-13,288.96,TSLA,Hold
162768,2019-03-12,283.36,TSLA,Hold
162769,2019-03-11,290.92,TSLA,Hold
162770,2019-03-08,284.14,TSLA,Hold
162771,2019-03-07,276.59,TSLA,Hold
162772,2019-03-06,276.24,TSLA,Hold
162773,2019-03-05,276.54,TSLA,Hold
162774,2019-03-04,285.36,TSLA,Sell
162775,2019-03-01,294.79,TSLA,Hold
162776,2019-02-28,319.88,TSLA,Hold
162777,2019-02-27,314.74,TSLA,Buy
162778,2019-02-26,297.86,TSLA,Hold
162779,2019-02-25,298.77,TSLA,Hold
162780,2019-02-22,294.71,TSLA,Hold
162781,2019-02-21,291.23,TSLA,Sell
162782,2019-02-20,302.56,TSLA,Hold
162783,2019-02-19,305.64,TSLA,Hold
162784,2019-02-15,307.88,TSLA,Hold
162785,2019-02-14,303.77,TSLA,Hold
162786,2019-02-13,308.17,TSLA,Hold
162787,2019-02-12,311.81,TSLA,Hold
162788,2019-02-11,312.84,TSLA,Hold
162789,2019-02-08,305.8,TSLA,Hold
162790,2019-02-07,307.51,TSLA,Hold
162791,2019-02-06,317.22,TSLA,Hold
162792,2019-02-05,321.35,TSLA,Hold
162793,2019-02-04,312.89,TSLA,Hold
162794,2019-02-01,312.21,TSLA,Hold
162795,2019-01-31,307.02,TSLA,Hold
162796,2019-01-30,308.77,TSLA,Hold
162797,2019-01-29,297.46,TSLA,Hold
162798,2019-01-28,296.38,TSLA,Hold
162799,2019-01-25,297.04,TSLA,Hold
162800,2019-01-24,291.51,TSLA,Hold
162801,2019-01-23,287.59,TSLA,Hold
162802,2019-01-22,298.92,TSLA,Hold
162803,2019-01-18,302.26,TSLA,Sell
162804,2019-01-17,347.31,TSLA,Hold
162805,2019-01-16,346.05,TSLA,Hold
162806,2019-01-15,344.43,TSLA,Hold
162807,2019-01-14,334.4,TSLA,Hold
162808,2019-01-11,347.26,TSLA,Hold
162809,2019-01-10,344.97,TSLA,Hold
162810,2019-01-09,338.53,TSLA,Hold
162811,2019-01-08,335.35,TSLA,Hold
162812,2019-01-07,334.96,TSLA,Hold
162813,2019-01-04,317.69,TSLA,Hold
162814,2019-01-03,300.36,TSLA,Hold
162815,2019-01-02,310.12,TSLA,Hold
162816,2018-12-31,332.8,TSLA,Hold
162817,2018-12-28,333.87,TSLA,Hold
162818,2018-12-27,316.13,TSLA,Hold
162819,2018-12-26,326.09,TSLA,Hold
162820,2018-12-24,295.39,TSLA,Hold
162821,2018-12-21,319.77,TSLA,Hold
162822,2018-12-20,315.38,TSLA,Hold
162823,2018-12-19,332.97,TSLA,Hold
162824,2018-12-18,337.03,TSLA,Hold
162825,2018-12-17,348.42,TSLA,Sell
162826,2018-12-14,365.71,TSLA,Hold
162827,2018-12-13,376.79,TSLA,Hold
162828,2018-12-12,366.6,TSLA,Hold
162829,2018-12-11,366.76,TSLA,Hold
162830,2018-12-10,365.15,TSLA,Hold
162831,2018-12-07,357.965,TSLA,Hold
162832,2018-12-06,363.06,TSLA,Hold
162833,2018-12-04,359.7,TSLA,Hold
162834,2018-12-03,358.49,TSLA,Hold
162835,2018-11-30,350.48,TSLA,Hold
162836,2018-11-29,341.17,TSLA,Hold
162837,2018-11-28,347.87,TSLA,Hold
162838,2018-11-27,343.92,TSLA,Hold
162839,2018-11-26,346.0,TSLA,Hold
162840,2018-11-23,325.83,TSLA,Hold
162841,2018-11-21,338.19,TSLA,Hold
162842,2018-11-20,347.49,TSLA,Sell
162843,2018-11-19,353.47,TSLA,Hold
162844,2018-11-16,354.31,TSLA,Hold
162845,2018-11-15,348.44,TSLA,Hold
162846,2018-11-14,344.0,TSLA,Hold
162847,2018-11-13,338.73,TSLA,Hold
162848,2018-11-12,331.28,TSLA,Hold
162849,2018-11-09,350.51,TSLA,Hold
162850,2018-11-08,351.4,TSLA,Hold
162851,2018-11-07,348.16,TSLA,Hold
162852,2018-11-06,341.06,TSLA,Hold
162853,2018-11-05,341.4,TSLA,Hold
162854,2018-11-02,346.41,TSLA,Hold
162855,2018-11-01,344.28,TSLA,Hold
162856,2018-10-31,337.32,TSLA,Hold
162857,2018-10-30,329.9,TSLA,Hold
162858,2018-10-29,334.85,TSLA,Hold
162859,2018-10-26,330.9,TSLA,Hold
162860,2018-10-25,314.86,TSLA,Hold
162861,2018-10-24,288.5,TSLA,Hold
162862,2018-10-23,294.14,TSLA,Hold
162863,2018-10-22,260.95,TSLA,Hold
162864,2018-10-19,260.0,TSLA,Hold
162865,2018-10-18,263.91,TSLA,Hold
162866,2018-10-17,271.78,TSLA,Hold
162867,2018-10-16,276.59,TSLA,Hold
162868,2018-10-15,259.59,TSLA,Hold
162869,2018-10-12,258.78,TSLA,Hold
162870,2018-10-11,252.23,TSLA,Hold
162871,2018-10-10,256.88,TSLA,Hold
162872,2018-10-09,262.8,TSLA,Hold
162873,2018-10-08,250.56,TSLA,Hold
162874,2018-10-05,261.95,TSLA,Sell
162875,2018-10-04,281.83,TSLA,Hold
162876,2018-10-03,294.8,TSLA,Hold
162877,2018-10-02,301.02,TSLA,Hold
162878,2018-10-01,310.7,TSLA,Hold
162879,2018-09-28,264.77,TSLA,Hold
162880,2018-09-27,307.52,TSLA,Hold
162881,2018-09-26,309.58,TSLA,Hold
162882,2018-09-25,300.99,TSLA,Hold
162883,2018-09-24,299.68,TSLA,Hold
162884,2018-09-21,299.1,TSLA,Hold
162885,2018-09-20,298.33,TSLA,Hold
162886,2018-09-19,299.02,TSLA,Hold
162887,2018-09-18,284.96,TSLA,Hold
162888,2018-09-17,294.84,TSLA,Hold
162889,2018-09-14,295.2,TSLA,Hold
162890,2018-09-13,289.46,TSLA,Hold
162891,2018-09-12,290.54,TSLA,Hold
162892,2018-09-11,279.44,TSLA,Hold
162893,2018-09-10,285.5,TSLA,Hold
162894,2018-09-07,263.24,TSLA,Hold
162895,2018-09-06,280.95,TSLA,Hold
162896,2018-09-05,280.74,TSLA,Hold
162897,2018-09-04,288.95,TSLA,Hold
162898,2018-08-31,301.66,TSLA,Hold
162899,2018-08-30,303.15,TSLA,Hold
162900,2018-08-29,305.01,TSLA,Hold
162901,2018-08-28,311.86,TSLA,Hold
162902,2018-08-27,319.27,TSLA,Hold
162903,2018-08-24,322.82,TSLA,Hold
162904,2018-08-23,320.1,TSLA,Hold
162905,2018-08-22,321.64,TSLA,Hold
162906,2018-08-21,321.9,TSLA,Hold
162907,2018-08-20,308.44,TSLA,Hold
162908,2018-08-17,305.5,TSLA,Sell
162909,2018-08-16,335.45,TSLA,Hold
162910,2018-08-15,338.69,TSLA,Hold
162911,2018-08-14,347.64,TSLA,Hold
162912,2018-08-13,356.41,TSLA,Hold
162913,2018-08-10,355.49,TSLA,Hold
162914,2018-08-09,352.45,TSLA,Hold
162915,2018-08-08,370.34,TSLA,Hold
162916,2018-08-07,379.57,TSLA,Hold
162917,2018-08-06,341.99,TSLA,Hold
162918,2018-08-03,348.17,TSLA,Hold
162919,2018-08-02,349.54,TSLA,Buy
162920,2018-08-01,300.84,TSLA,Hold
162921,2018-07-31,298.14,TSLA,Hold
162922,2018-07-30,290.17,TSLA,Hold
162923,2018-07-27,297.18,TSLA,Hold
162924,2018-07-26,306.65,TSLA,Hold
162925,2018-07-25,308.74,TSLA,Hold
162926,2018-07-24,297.43,TSLA,Hold
162927,2018-07-23,303.2,TSLA,Hold
162928,2018-07-20,313.58,TSLA,Hold
162929,2018-07-19,320.23,TSLA,Hold
162930,2018-07-18,323.85,TSLA,Hold
162931,2018-07-17,322.69,TSLA,Hold
162932,2018-07-16,310.1,TSLA,Hold
162933,2018-07-13,318.87,TSLA,Hold
162934,2018-07-12,316.71,TSLA,Hold
162935,2018-07-11,318.96,TSLA,Hold
162936,2018-07-10,322.47,TSLA,Hold
162937,2018-07-09,318.51,TSLA,Hold
162938,2018-07-06,308.9,TSLA,Hold
162939,2018-07-05,309.16,TSLA,Hold
162940,2018-07-03,310.86,TSLA,Hold
162941,2018-07-02,335.07,TSLA,Hold
162942,2018-06-29,342.95,TSLA,Hold
162943,2018-06-28,349.93,TSLA,Hold
162944,2018-06-27,344.5,TSLA,Hold
162945,2018-06-26,342.0,TSLA,Hold
162946,2018-06-25,333.01,TSLA,Hold
162947,2018-06-22,333.63,TSLA,Hold
162948,2018-06-21,347.51,TSLA,Hold
162949,2018-06-20,362.22,TSLA,Hold
162950,2018-06-19,352.55,TSLA,Not Available
162951,2018-06-18,370.83,TSLA,Not Available
162952,2018-06-15,358.17,TSLA,Not Available
